Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
"ET","Temperature change on land","040","Austria","7271","Temperature change","7020","Meteorological year","2000","2000","°c","1.774","E","Estimated value"
"ET","Temperature change on land","040","Austria","7271","Temperature change","7020","Meteorological year","2001","2001","°c","1.508","E","Estimated value"
"ET","Temperature change on land","040","Austria","7271","Temperature change","7020","Meteorological year","2002","2002","°c","1.542","E","Estimated value"
"ET","Temperature change on land","040","Austria","7271","Temperature change","7020","Meteorological year","2003","2003","°c","1.474","E","Estimated value"
"ET","Temperature change on land","040","Austria","7271","Temperature change","7020","Meteorological year","2004","2004","°c","0.84","E","Estimated value"
"ET","Temperature change on land","040","Austria","7271","Temperature change","7020","Meteorological year","2005","2005","°c","0.638","E","Estimated value"
"ET","Temperature change on land","040","Austria","7271","Temperature change","7020","Meteorological year","2006","2006","°c","0.919","E","Estimated value"
"ET","Temperature change on land","040","Austria","7271","Temperature change","7020","Meteorological year","2007","2007","°c","2.151","E","Estimated value"
"ET","Temperature change on land","040","Austria","7271","Temperature change","7020","Meteorological year","2008","2008","°c","1.597","E","Estimated value"
"ET","Temperature change on land","040","Austria","7271","Temperature change","7020","Meteorological year","2009","2009","°c","1.554","E","Estimated value"
"ET","Temperature change on land","040","Austria","7271","Temperature change","7020","Meteorological year","2010","2010","°c","0.668","E","Estimated value"
"ET","Temperature change on land","040","Austria","7271","Temperature change","7020","Meteorological year","2011","2011","°c","1.384","E","Estimated value"
"ET","Temperature change on land","040","Austria","7271","Temperature change","7020","Meteorological year","2012","2012","°c","1.792","E","Estimated value"
"ET","Temperature change on land","040","Austria","7271","Temperature change","7020","Meteorological year","2013","2013","°c","1.105","E","Estimated value"
"ET","Temperature change on land","040","Austria","7271","Temperature change","7020","Meteorological year","2014","2014","°c","2.421","E","Estimated value"
"ET","Temperature change on land","040","Austria","7271","Temperature change","7020","Meteorological year","2015","2015","°c","2.175","E","Estimated value"
"ET","Temperature change on land","040","Austria","7271","Temperature change","7020","Meteorological year","2016","2016","°c","2.1","E","Estimated value"
"ET","Temperature change on land","040","Austria","7271","Temperature change","7020","Meteorological year","2017","2017","°c","1.746","E","Estimated value"
"ET","Temperature change on land","040","Austria","7271","Temperature change","7020","Meteorological year","2018","2018","°c","2.53","E","Estimated value"
"ET","Temperature change on land","040","Austria","7271","Temperature change","7020","Meteorological year","2019","2019","°c","2.375","E","Estimated value"
"ET","Temperature change on land","040","Austria","7271","Temperature change","7020","Meteorological year","2020","2020","°c","2.322","E","Estimated value"
"ET","Temperature change on land","040","Austria","7271","Temperature change","7020","Meteorological year","2021","2021","°c","1.41","E","Estimated value"
"ET","Temperature change on land","056","Belgium","7271","Temperature change","7020","Meteorological year","2000","2000","°c","1.482","E","Estimated value"
"ET","Temperature change on land","056","Belgium","7271","Temperature change","7020","Meteorological year","2001","2001","°c","1.333","E","Estimated value"
"ET","Temperature change on land","056","Belgium","7271","Temperature change","7020","Meteorological year","2002","2002","°c","1.394","E","Estimated value"
"ET","Temperature change on land","056","Belgium","7271","Temperature change","7020","Meteorological year","2003","2003","°c","1.523","E","Estimated value"
"ET","Temperature change on land","056","Belgium","7271","Temperature change","7020","Meteorological year","2004","2004","°c","1.089","E","Estimated value"
"ET","Temperature change on land","056","Belgium","7271","Temperature change","7020","Meteorological year","2005","2005","°c","1.198","E","Estimated value"
"ET","Temperature change on land","056","Belgium","7271","Temperature change","7020","Meteorological year","2006","2006","°c","1.406","E","Estimated value"
"ET","Temperature change on land","056","Belgium","7271","Temperature change","7020","Meteorological year","2007","2007","°c","1.889","E","Estimated value"
"ET","Temperature change on land","056","Belgium","7271","Temperature change","7020","Meteorological year","2008","2008","°c","1.261","E","Estimated value"
"ET","Temperature change on land","056","Belgium","7271","Temperature change","7020","Meteorological year","2009","2009","°c","1.159","E","Estimated value"
"ET","Temperature change on land","056","Belgium","7271","Temperature change","7020","Meteorological year","2010","2010","°c","0.236","E","Estimated value"
"ET","Temperature change on land","056","Belgium","7271","Temperature change","7020","Meteorological year","2011","2011","°c","1.29","E","Estimated value"
"ET","Temperature change on land","056","Belgium","7271","Temperature change","7020","Meteorological year","2012","2012","°c","1.137","E","Estimated value"
"ET","Temperature change on land","056","Belgium","7271","Temperature change","7020","Meteorological year","2013","2013","°c","0.472","E","Estimated value"
"ET","Temperature change on land","056","Belgium","7271","Temperature change","7020","Meteorological year","2014","2014","°c","2.408","E","Estimated value"
"ET","Temperature change on land","056","Belgium","7271","Temperature change","7020","Meteorological year","2015","2015","°c","1.355","E","Estimated value"
"ET","Temperature change on land","056","Belgium","7271","Temperature change","7020","Meteorological year","2016","2016","°c","1.865","E","Estimated value"
"ET","Temperature change on land","056","Belgium","7271","Temperature change","7020","Meteorological year","2017","2017","°c","1.711","E","Estimated value"
"ET","Temperature change on land","056","Belgium","7271","Temperature change","7020","Meteorological year","2018","2018","°c","2.173","E","Estimated value"
"ET","Temperature change on land","056","Belgium","7271","Temperature change","7020","Meteorological year","2019","2019","°c","2.055","E","Estimated value"
"ET","Temperature change on land","056","Belgium","7271","Temperature change","7020","Meteorological year","2020","2020","°c","2.542","E","Estimated value"
"ET","Temperature change on land","056","Belgium","7271","Temperature change","7020","Meteorological year","2021","2021","°c","1.176","E","Estimated value"
"ET","Temperature change on land","100","Bulgaria","7271","Temperature change","7020","Meteorological year","2000","2000","°c","1.171","E","Estimated value"
"ET","Temperature change on land","100","Bulgaria","7271","Temperature change","7020","Meteorological year","2001","2001","°c","1.63","E","Estimated value"
"ET","Temperature change on land","100","Bulgaria","7271","Temperature change","7020","Meteorological year","2002","2002","°c","0.837","E","Estimated value"
"ET","Temperature change on land","100","Bulgaria","7271","Temperature change","7020","Meteorological year","2003","2003","°c","0.164","E","Estimated value"
"ET","Temperature change on land","100","Bulgaria","7271","Temperature change","7020","Meteorological year","2004","2004","°c","0.508","E","Estimated value"
"ET","Temperature change on land","100","Bulgaria","7271","Temperature change","7020","Meteorological year","2005","2005","°c","0.189","E","Estimated value"
"ET","Temperature change on land","100","Bulgaria","7271","Temperature change","7020","Meteorological year","2006","2006","°c","0.542","E","Estimated value"
"ET","Temperature change on land","100","Bulgaria","7271","Temperature change","7020","Meteorological year","2007","2007","°c","1.853","E","Estimated value"
"ET","Temperature change on land","100","Bulgaria","7271","Temperature change","7020","Meteorological year","2008","2008","°c","1.146","E","Estimated value"
"ET","Temperature change on land","100","Bulgaria","7271","Temperature change","7020","Meteorological year","2009","2009","°c","1.259","E","Estimated value"
"ET","Temperature change on land","100","Bulgaria","7271","Temperature change","7020","Meteorological year","2010","2010","°c","1.334","E","Estimated value"
"ET","Temperature change on land","100","Bulgaria","7271","Temperature change","7020","Meteorological year","2011","2011","°c","0.394","E","Estimated value"
"ET","Temperature change on land","100","Bulgaria","7271","Temperature change","7020","Meteorological year","2012","2012","°c","1.647","E","Estimated value"
"ET","Temperature change on land","100","Bulgaria","7271","Temperature change","7020","Meteorological year","2013","2013","°c","1.44","E","Estimated value"
"ET","Temperature change on land","100","Bulgaria","7271","Temperature change","7020","Meteorological year","2014","2014","°c","1.128","E","Estimated value"
"ET","Temperature change on land","100","Bulgaria","7271","Temperature change","7020","Meteorological year","2015","2015","°c","1.344","E","Estimated value"
"ET","Temperature change on land","100","Bulgaria","7271","Temperature change","7020","Meteorological year","2016","2016","°c","1.796","E","Estimated value"
"ET","Temperature change on land","100","Bulgaria","7271","Temperature change","7020","Meteorological year","2017","2017","°c","0.843","E","Estimated value"
"ET","Temperature change on land","100","Bulgaria","7271","Temperature change","7020","Meteorological year","2018","2018","°c","2.072","E","Estimated value"
"ET","Temperature change on land","100","Bulgaria","7271","Temperature change","7020","Meteorological year","2019","2019","°c","1.991","E","Estimated value"
"ET","Temperature change on land","100","Bulgaria","7271","Temperature change","7020","Meteorological year","2020","2020","°c","1.938","E","Estimated value"
"ET","Temperature change on land","100","Bulgaria","7271","Temperature change","7020","Meteorological year","2021","2021","°c","1.511","E","Estimated value"
"ET","Temperature change on land","191","Croatia","7271","Temperature change","7020","Meteorological year","2000","2000","°c","1.636","E","Estimated value"
"ET","Temperature change on land","191","Croatia","7271","Temperature change","7020","Meteorological year","2001","2001","°c","1.61","E","Estimated value"
"ET","Temperature change on land","191","Croatia","7271","Temperature change","7020","Meteorological year","2002","2002","°c","1.278","E","Estimated value"
"ET","Temperature change on land","191","Croatia","7271","Temperature change","7020","Meteorological year","2003","2003","°c","1.291","E","Estimated value"
"ET","Temperature change on land","191","Croatia","7271","Temperature change","7020","Meteorological year","2004","2004","°c","0.681","E","Estimated value"
"ET","Temperature change on land","191","Croatia","7271","Temperature change","7020","Meteorological year","2005","2005","°c","0.307","E","Estimated value"
"ET","Temperature change on land","191","Croatia","7271","Temperature change","7020","Meteorological year","2006","2006","°c","0.734","E","Estimated value"
"ET","Temperature change on land","191","Croatia","7271","Temperature change","7020","Meteorological year","2007","2007","°c","2","E","Estimated value"
"ET","Temperature change on land","191","Croatia","7271","Temperature change","7020","Meteorological year","2008","2008","°c","1.479","E","Estimated value"
"ET","Temperature change on land","191","Croatia","7271","Temperature change","7020","Meteorological year","2009","2009","°c","1.517","E","Estimated value"
"ET","Temperature change on land","191","Croatia","7271","Temperature change","7020","Meteorological year","2010","2010","°c","0.883","E","Estimated value"
"ET","Temperature change on land","191","Croatia","7271","Temperature change","7020","Meteorological year","2011","2011","°c","1.279","E","Estimated value"
"ET","Temperature change on land","191","Croatia","7271","Temperature change","7020","Meteorological year","2012","2012","°c","1.866","E","Estimated value"
"ET","Temperature change on land","191","Croatia","7271","Temperature change","7020","Meteorological year","2013","2013","°c","1.288","E","Estimated value"
"ET","Temperature change on land","191","Croatia","7271","Temperature change","7020","Meteorological year","2014","2014","°c","2.053","E","Estimated value"
"ET","Temperature change on land","191","Croatia","7271","Temperature change","7020","Meteorological year","2015","2015","°c","1.943","E","Estimated value"
"ET","Temperature change on land","191","Croatia","7271","Temperature change","7020","Meteorological year","2016","2016","°c","1.852","E","Estimated value"
"ET","Temperature change on land","191","Croatia","7271","Temperature change","7020","Meteorological year","2017","2017","°c","1.568","E","Estimated value"
"ET","Temperature change on land","191","Croatia","7271","Temperature change","7020","Meteorological year","2018","2018","°c","2.325","E","Estimated value"
"ET","Temperature change on land","191","Croatia","7271","Temperature change","7020","Meteorological year","2019","2019","°c","2.121","E","Estimated value"
"ET","Temperature change on land","191","Croatia","7271","Temperature change","7020","Meteorological year","2020","2020","°c","2.026","E","Estimated value"
"ET","Temperature change on land","191","Croatia","7271","Temperature change","7020","Meteorological year","2021","2021","°c","1.618","E","Estimated value"
"ET","Temperature change on land","196","Cyprus","7271","Temperature change","7020","Meteorological year","2000","2000","°c","0.683","E","Estimated value"
"ET","Temperature change on land","196","Cyprus","7271","Temperature change","7020","Meteorological year","2001","2001","°c","1.23","E","Estimated value"
"ET","Temperature change on land","196","Cyprus","7271","Temperature change","7020","Meteorological year","2002","2002","°c","0.888","E","Estimated value"
"ET","Temperature change on land","196","Cyprus","7271","Temperature change","7020","Meteorological year","2003","2003","°c","0.649","E","Estimated value"
"ET","Temperature change on land","196","Cyprus","7271","Temperature change","7020","Meteorological year","2004","2004","°c","0.675","E","Estimated value"
"ET","Temperature change on land","196","Cyprus","7271","Temperature change","7020","Meteorological year","2005","2005","°c","0.4","E","Estimated value"
"ET","Temperature change on land","196","Cyprus","7271","Temperature change","7020","Meteorological year","2006","2006","°c","0.684","E","Estimated value"
"ET","Temperature change on land","196","Cyprus","7271","Temperature change","7020","Meteorological year","2007","2007","°c","0.873","E","Estimated value"
"ET","Temperature change on land","196","Cyprus","7271","Temperature change","7020","Meteorological year","2008","2008","°c","1.084","E","Estimated value"
"ET","Temperature change on land","196","Cyprus","7271","Temperature change","7020","Meteorological year","2009","2009","°c","1.027","E","Estimated value"
"ET","Temperature change on land","196","Cyprus","7271","Temperature change","7020","Meteorological year","2010","2010","°c","2.045","E","Estimated value"
"ET","Temperature change on land","196","Cyprus","7271","Temperature change","7020","Meteorological year","2011","2011","°c","0.698","E","Estimated value"
"ET","Temperature change on land","196","Cyprus","7271","Temperature change","7020","Meteorological year","2012","2012","°c","0.919","E","Estimated value"
"ET","Temperature change on land","196","Cyprus","7271","Temperature change","7020","Meteorological year","2013","2013","°c","1.182","E","Estimated value"
"ET","Temperature change on land","196","Cyprus","7271","Temperature change","7020","Meteorological year","2014","2014","°c","1.006","E","Estimated value"
"ET","Temperature change on land","196","Cyprus","7271","Temperature change","7020","Meteorological year","2015","2015","°c","1.128","E","Estimated value"
"ET","Temperature change on land","196","Cyprus","7271","Temperature change","7020","Meteorological year","2016","2016","°c","1.504","E","Estimated value"
"ET","Temperature change on land","196","Cyprus","7271","Temperature change","7020","Meteorological year","2017","2017","°c","0.783","E","Estimated value"
"ET","Temperature change on land","196","Cyprus","7271","Temperature change","7020","Meteorological year","2018","2018","°c","2.104","E","Estimated value"
"ET","Temperature change on land","196","Cyprus","7271","Temperature change","7020","Meteorological year","2019","2019","°c","1.496","E","Estimated value"
"ET","Temperature change on land","196","Cyprus","7271","Temperature change","7020","Meteorological year","2020","2020","°c","1.632","E","Estimated value"
"ET","Temperature change on land","196","Cyprus","7271","Temperature change","7020","Meteorological year","2021","2021","°c","1.948","E","Estimated value"
"ET","Temperature change on land","203","Czechia","7271","Temperature change","7020","Meteorological year","2000","2000","°c","1.907","E","Estimated value"
"ET","Temperature change on land","203","Czechia","7271","Temperature change","7020","Meteorological year","2001","2001","°c","1.227","E","Estimated value"
"ET","Temperature change on land","203","Czechia","7271","Temperature change","7020","Meteorological year","2002","2002","°c","1.531","E","Estimated value"
"ET","Temperature change on land","203","Czechia","7271","Temperature change","7020","Meteorological year","2003","2003","°c","1.082","E","Estimated value"
"ET","Temperature change on land","203","Czechia","7271","Temperature change","7020","Meteorological year","2004","2004","°c","0.821","E","Estimated value"
"ET","Temperature change on land","203","Czechia","7271","Temperature change","7020","Meteorological year","2005","2005","°c","0.749","E","Estimated value"
"ET","Temperature change on land","203","Czechia","7271","Temperature change","7020","Meteorological year","2006","2006","°c","0.955","E","Estimated value"
"ET","Temperature change on land","203","Czechia","7271","Temperature change","7020","Meteorological year","2007","2007","°c","2.172","E","Estimated value"
"ET","Temperature change on land","203","Czechia","7271","Temperature change","7020","Meteorological year","2008","2008","°c","1.648","E","Estimated value"
"ET","Temperature change on land","203","Czechia","7271","Temperature change","7020","Meteorological year","2009","2009","°c","1.429","E","Estimated value"
"ET","Temperature change on land","203","Czechia","7271","Temperature change","7020","Meteorological year","2010","2010","°c","0.413","E","Estimated value"
"ET","Temperature change on land","203","Czechia","7271","Temperature change","7020","Meteorological year","2011","2011","°c","1.042","E","Estimated value"
"ET","Temperature change on land","203","Czechia","7271","Temperature change","7020","Meteorological year","2012","2012","°c","1.581","E","Estimated value"
"ET","Temperature change on land","203","Czechia","7271","Temperature change","7020","Meteorological year","2013","2013","°c","0.78","E","Estimated value"
"ET","Temperature change on land","203","Czechia","7271","Temperature change","7020","Meteorological year","2014","2014","°c","2.504","E","Estimated value"
"ET","Temperature change on land","203","Czechia","7271","Temperature change","7020","Meteorological year","2015","2015","°c","2.109","E","Estimated value"
"ET","Temperature change on land","203","Czechia","7271","Temperature change","7020","Meteorological year","2016","2016","°c","2.063","E","Estimated value"
"ET","Temperature change on land","203","Czechia","7271","Temperature change","7020","Meteorological year","2017","2017","°c","1.579","E","Estimated value"
"ET","Temperature change on land","203","Czechia","7271","Temperature change","7020","Meteorological year","2018","2018","°c","2.634","E","Estimated value"
"ET","Temperature change on land","203","Czechia","7271","Temperature change","7020","Meteorological year","2019","2019","°c","2.523","E","Estimated value"
"ET","Temperature change on land","203","Czechia","7271","Temperature change","7020","Meteorological year","2020","2020","°c","2.322","E","Estimated value"
"ET","Temperature change on land","203","Czechia","7271","Temperature change","7020","Meteorological year","2021","2021","°c","1.281","E","Estimated value"
"ET","Temperature change on land","208","Denmark","7271","Temperature change","7020","Meteorological year","2000","2000","°c","1.707","E","Estimated value"
"ET","Temperature change on land","208","Denmark","7271","Temperature change","7020","Meteorological year","2001","2001","°c","1.031","E","Estimated value"
"ET","Temperature change on land","208","Denmark","7271","Temperature change","7020","Meteorological year","2002","2002","°c","1.64","E","Estimated value"
"ET","Temperature change on land","208","Denmark","7271","Temperature change","7020","Meteorological year","2003","2003","°c","0.696","E","Estimated value"
"ET","Temperature change on land","208","Denmark","7271","Temperature change","7020","Meteorological year","2004","2004","°c","1.023","E","Estimated value"
"ET","Temperature change on land","208","Denmark","7271","Temperature change","7020","Meteorological year","2005","2005","°c","1.274","E","Estimated value"
"ET","Temperature change on land","208","Denmark","7271","Temperature change","7020","Meteorological year","2006","2006","°c","1.341","E","Estimated value"
"ET","Temperature change on land","208","Denmark","7271","Temperature change","7020","Meteorological year","2007","2007","°c","2.129","E","Estimated value"
"ET","Temperature change on land","208","Denmark","7271","Temperature change","7020","Meteorological year","2008","2008","°c","1.854","E","Estimated value"
"ET","Temperature change on land","208","Denmark","7271","Temperature change","7020","Meteorological year","2009","2009","°c","1.318","E","Estimated value"
"ET","Temperature change on land","208","Denmark","7271","Temperature change","7020","Meteorological year","2010","2010","°c","-0.201","E","Estimated value"
"ET","Temperature change on land","208","Denmark","7271","Temperature change","7020","Meteorological year","2011","2011","°c","0.677","E","Estimated value"
"ET","Temperature change on land","208","Denmark","7271","Temperature change","7020","Meteorological year","2012","2012","°c","1.145","E","Estimated value"
"ET","Temperature change on land","208","Denmark","7271","Temperature change","7020","Meteorological year","2013","2013","°c","0.401","E","Estimated value"
"ET","Temperature change on land","208","Denmark","7271","Temperature change","7020","Meteorological year","2014","2014","°c","2.668","E","Estimated value"
"ET","Temperature change on land","208","Denmark","7271","Temperature change","7020","Meteorological year","2015","2015","°c","1.507","E","Estimated value"
"ET","Temperature change on land","208","Denmark","7271","Temperature change","7020","Meteorological year","2016","2016","°c","1.839","E","Estimated value"
"ET","Temperature change on land","208","Denmark","7271","Temperature change","7020","Meteorological year","2017","2017","°c","1.61","E","Estimated value"
"ET","Temperature change on land","208","Denmark","7271","Temperature change","7020","Meteorological year","2018","2018","°c","2.096","E","Estimated value"
"ET","Temperature change on land","208","Denmark","7271","Temperature change","7020","Meteorological year","2019","2019","°c","2.167","E","Estimated value"
"ET","Temperature change on land","208","Denmark","7271","Temperature change","7020","Meteorological year","2020","2020","°c","2.625","E","Estimated value"
"ET","Temperature change on land","208","Denmark","7271","Temperature change","7020","Meteorological year","2021","2021","°c","1.685","E","Estimated value"
"ET","Temperature change on land","233","Estonia","7271","Temperature change","7020","Meteorological year","2000","2000","°c","2.046","E","Estimated value"
"ET","Temperature change on land","233","Estonia","7271","Temperature change","7020","Meteorological year","2001","2001","°c","1.817","E","Estimated value"
"ET","Temperature change on land","233","Estonia","7271","Temperature change","7020","Meteorological year","2002","2002","°c","1.46","E","Estimated value"
"ET","Temperature change on land","233","Estonia","7271","Temperature change","7020","Meteorological year","2003","2003","°c","0.208","E","Estimated value"
"ET","Temperature change on land","233","Estonia","7271","Temperature change","7020","Meteorological year","2004","2004","°c","1.154","E","Estimated value"
"ET","Temperature change on land","233","Estonia","7271","Temperature change","7020","Meteorological year","2005","2005","°c","1.583","E","Estimated value"
"ET","Temperature change on land","233","Estonia","7271","Temperature change","7020","Meteorological year","2006","2006","°c","1.25","E","Estimated value"
"ET","Temperature change on land","233","Estonia","7271","Temperature change","7020","Meteorological year","2007","2007","°c","2.255","E","Estimated value"
"ET","Temperature change on land","233","Estonia","7271","Temperature change","7020","Meteorological year","2008","2008","°c","2.587","E","Estimated value"
"ET","Temperature change on land","233","Estonia","7271","Temperature change","7020","Meteorological year","2009","2009","°c","1.604","E","Estimated value"
"ET","Temperature change on land","233","Estonia","7271","Temperature change","7020","Meteorological year","2010","2010","°c","0.53","E","Estimated value"
"ET","Temperature change on land","233","Estonia","7271","Temperature change","7020","Meteorological year","2011","2011","°c","1.29","E","Estimated value"
"ET","Temperature change on land","233","Estonia","7271","Temperature change","7020","Meteorological year","2012","2012","°c","1.45","E","Estimated value"
"ET","Temperature change on land","233","Estonia","7271","Temperature change","7020","Meteorological year","2013","2013","°c","1.165","E","Estimated value"
"ET","Temperature change on land","233","Estonia","7271","Temperature change","7020","Meteorological year","2014","2014","°c","2.414","E","Estimated value"
"ET","Temperature change on land","233","Estonia","7271","Temperature change","7020","Meteorological year","2015","2015","°c","2.349","E","Estimated value"
"ET","Temperature change on land","233","Estonia","7271","Temperature change","7020","Meteorological year","2016","2016","°c","1.914","E","Estimated value"
"ET","Temperature change on land","233","Estonia","7271","Temperature change","7020","Meteorological year","2017","2017","°c","1.482","E","Estimated value"
"ET","Temperature change on land","233","Estonia","7271","Temperature change","7020","Meteorological year","2018","2018","°c","2.394","E","Estimated value"
"ET","Temperature change on land","233","Estonia","7271","Temperature change","7020","Meteorological year","2019","2019","°c","2.194","E","Estimated value"
"ET","Temperature change on land","233","Estonia","7271","Temperature change","7020","Meteorological year","2020","2020","°c","3.598","E","Estimated value"
"ET","Temperature change on land","233","Estonia","7271","Temperature change","7020","Meteorological year","2021","2021","°c","2.135","E","Estimated value"
"ET","Temperature change on land","246","Finland","7271","Temperature change","7020","Meteorological year","2000","2000","°c","2.031","E","Estimated value"
"ET","Temperature change on land","246","Finland","7271","Temperature change","7020","Meteorological year","2001","2001","°c","1.377","E","Estimated value"
"ET","Temperature change on land","246","Finland","7271","Temperature change","7020","Meteorological year","2002","2002","°c","1.179","E","Estimated value"
"ET","Temperature change on land","246","Finland","7271","Temperature change","7020","Meteorological year","2003","2003","°c","0.717","E","Estimated value"
"ET","Temperature change on land","246","Finland","7271","Temperature change","7020","Meteorological year","2004","2004","°c","1.239","E","Estimated value"
"ET","Temperature change on land","246","Finland","7271","Temperature change","7020","Meteorological year","2005","2005","°c","2.209","E","Estimated value"
"ET","Temperature change on land","246","Finland","7271","Temperature change","7020","Meteorological year","2006","2006","°c","1.21","E","Estimated value"
"ET","Temperature change on land","246","Finland","7271","Temperature change","7020","Meteorological year","2007","2007","°c","1.952","E","Estimated value"
"ET","Temperature change on land","246","Finland","7271","Temperature change","7020","Meteorological year","2008","2008","°c","2.135","E","Estimated value"
"ET","Temperature change on land","246","Finland","7271","Temperature change","7020","Meteorological year","2009","2009","°c","1.699","E","Estimated value"
"ET","Temperature change on land","246","Finland","7271","Temperature change","7020","Meteorological year","2010","2010","°c","0.243","E","Estimated value"
"ET","Temperature change on land","246","Finland","7271","Temperature change","7020","Meteorological year","2011","2011","°c","1.352","E","Estimated value"
"ET","Temperature change on land","246","Finland","7271","Temperature change","7020","Meteorological year","2012","2012","°c","1.539","E","Estimated value"
"ET","Temperature change on land","246","Finland","7271","Temperature change","7020","Meteorological year","2013","2013","°c","1.426","E","Estimated value"
"ET","Temperature change on land","246","Finland","7271","Temperature change","7020","Meteorological year","2014","2014","°c","2.591","E","Estimated value"
"ET","Temperature change on land","246","Finland","7271","Temperature change","7020","Meteorological year","2015","2015","°c","2.614","E","Estimated value"
"ET","Temperature change on land","246","Finland","7271","Temperature change","7020","Meteorological year","2016","2016","°c","2.153","E","Estimated value"
"ET","Temperature change on land","246","Finland","7271","Temperature change","7020","Meteorological year","2017","2017","°c","1.488","E","Estimated value"
"ET","Temperature change on land","246","Finland","7271","Temperature change","7020","Meteorological year","2018","2018","°c","2.16","E","Estimated value"
"ET","Temperature change on land","246","Finland","7271","Temperature change","7020","Meteorological year","2019","2019","°c","1.454","E","Estimated value"
"ET","Temperature change on land","246","Finland","7271","Temperature change","7020","Meteorological year","2020","2020","°c","3.321","E","Estimated value"
"ET","Temperature change on land","246","Finland","7271","Temperature change","7020","Meteorological year","2021","2021","°c","1.942","E","Estimated value"
