Area,Year
Denmark,2000
Denmark,2001
Denmark,2002
Denmark,2003
Denmark,2004
Denmark,2005
Denmark,2006
Denmark,2007
Denmark,2008
Denmark,2009
Denmark,2010
Denmark,2011
Denmark,2012
Denmark,2013
Denmark,2014
Denmark,2015
Denmark,2016
Denmark,2017
Denmark,2018
Denmark,2019
Denmark,2020
Denmark,2021
Denmark,2022
Estonia,2000
Estonia,2001
Estonia,2002
Estonia,2003
Estonia,2004
Estonia,2005
Estonia,2006
Estonia,2007
Estonia,2008
Estonia,2009
Estonia,2010
Estonia,2011
Estonia,2012
Estonia,2013
Estonia,2014
Estonia,2015
Estonia,2016
Estonia,2017
Estonia,2018
Estonia,2019
Estonia,2020
Estonia,2021
Estonia,2022
Finland,2000
Finland,2001
Finland,2002
Finland,2003
Finland,2004
Finland,2005
Finland,2006
Finland,2007
Finland,2008
Finland,2009
Finland,2010
Finland,2011
Finland,2012
Finland,2013
Finland,2014
Finland,2015
Finland,2016
Finland,2017
Finland,2018
Finland,2019
Finland,2020
Finland,2021
Finland,2022
Greece,2000
Greece,2001
Greece,2002
Greece,2003
Greece,2004
Greece,2005
Greece,2006
Greece,2007
Greece,2008
Greece,2009
Greece,2010
Greece,2011
Greece,2012
Greece,2013
Greece,2014
Greece,2015
Greece,2016
Greece,2017
Greece,2018
Greece,2019
Greece,2020
Greece,2021
Greece,2022
Lithuania,2000
Lithuania,2001
Lithuania,2002
Lithuania,2003
Lithuania,2004
Lithuania,2005
Lithuania,2006
Lithuania,2007
Lithuania,2008
Lithuania,2009
Lithuania,2010
Lithuania,2011
Lithuania,2012
Lithuania,2013
Lithuania,2014
Lithuania,2015
Lithuania,2016
Lithuania,2017
Lithuania,2018
Lithuania,2019
Lithuania,2020
Lithuania,2021
Lithuania,2022
Luxembourg,2000
Luxembourg,2001
Luxembourg,2002
Luxembourg,2003
Luxembourg,2004
Luxembourg,2005
Luxembourg,2006
Luxembourg,2007
Luxembourg,2008
Luxembourg,2009
Luxembourg,2010
Luxembourg,2011
Luxembourg,2012
Luxembourg,2013
Luxembourg,2014
Luxembourg,2015
Luxembourg,2016
Luxembourg,2017
Luxembourg,2018
Luxembourg,2019
Luxembourg,2020
Luxembourg,2021
Luxembourg,2022
Malta,2000
Malta,2001
Malta,2002
Malta,2003
Malta,2004
Malta,2005
Malta,2006
Malta,2007
Malta,2008
Malta,2009
Malta,2010
Malta,2011
Malta,2012
Malta,2013
Malta,2014
Malta,2015
Malta,2016
Malta,2017
Malta,2018
Malta,2019
Malta,2020
Malta,2021
Malta,2022
Netherlands (Kingdom of the),2000
Netherlands (Kingdom of the),2001
Netherlands (Kingdom of the),2002
Netherlands (Kingdom of the),2003
Netherlands (Kingdom of the),2004
Netherlands (Kingdom of the),2005
Netherlands (Kingdom of the),2006
Netherlands (Kingdom of the),2007
Netherlands (Kingdom of the),2008
Netherlands (Kingdom of the),2009
Netherlands (Kingdom of the),2010
Netherlands (Kingdom of the),2011
Netherlands (Kingdom of the),2012
Netherlands (Kingdom of the),2013
Netherlands (Kingdom of the),2014
Netherlands (Kingdom of the),2015
Netherlands (Kingdom of the),2016
Netherlands (Kingdom of the),2017
Netherlands (Kingdom of the),2018
Netherlands (Kingdom of the),2019
Netherlands (Kingdom of the),2020
Netherlands (Kingdom of the),2021
Netherlands (Kingdom of the),2022
Poland,2000
Poland,2001
Poland,2002
Poland,2003
Poland,2004
Poland,2005
Poland,2006
Poland,2007
Poland,2008
Poland,2009
Poland,2010
Poland,2011
Poland,2012
Poland,2013
Poland,2014
Poland,2015
Poland,2016
Poland,2017
Poland,2018
Poland,2019
Poland,2020
Poland,2021
Poland,2022
Portugal,2000
Portugal,2001
Portugal,2002
Portugal,2003
Portugal,2004
Portugal,2005
Portugal,2006
Portugal,2007
Portugal,2008
Portugal,2009
Portugal,2010
Portugal,2011
Portugal,2012
Portugal,2013
Portugal,2014
Portugal,2015
Portugal,2016
Portugal,2017
Portugal,2018
Portugal,2019
Portugal,2020
Portugal,2021
Portugal,2022
Romania,2000
Romania,2001
Romania,2002
Romania,2003
Romania,2004
Romania,2005
Romania,2006
Romania,2007
Romania,2008
Romania,2009
Romania,2010
Romania,2011
Romania,2012
Romania,2013
Romania,2014
Romania,2015
Romania,2016
Romania,2017
Romania,2018
Romania,2019
Romania,2020
Romania,2021
Romania,2022
Slovakia,2000
Slovakia,2001
Slovakia,2002
Slovakia,2003
Slovakia,2004
Slovakia,2005
Slovakia,2006
Slovakia,2007
Slovakia,2008
Slovakia,2009
Slovakia,2010
Slovakia,2011
Slovakia,2012
Slovakia,2013
Slovakia,2014
Slovakia,2015
Slovakia,2016
Slovakia,2017
Slovakia,2018
Slovakia,2019
Slovakia,2020
Slovakia,2021
Slovakia,2022
Denmark,2000
Denmark,2001
Denmark,2002
Denmark,2003
Denmark,2004
Denmark,2005
Denmark,2006
Denmark,2007
Denmark,2008
Denmark,2009
Denmark,2010
Denmark,2011
Denmark,2012
Denmark,2013
Denmark,2014
Denmark,2015
Denmark,2016
Denmark,2017
Denmark,2018
Denmark,2019
Denmark,2020
Denmark,2021
Denmark,2022
Estonia,2000
Estonia,2001
Estonia,2002
Estonia,2003
Estonia,2004
Estonia,2005
Estonia,2006
Estonia,2007
Estonia,2008
Estonia,2009
Estonia,2010
Estonia,2011
Estonia,2012
Estonia,2013
Estonia,2014
Estonia,2015
Estonia,2016
Estonia,2017
Estonia,2018
Estonia,2019
Estonia,2020
Estonia,2021
Estonia,2022
Finland,2000
Finland,2001
Finland,2002
Finland,2003
Finland,2004
Finland,2005
Finland,2006
Finland,2007
Finland,2008
Finland,2009
Finland,2010
Finland,2011
Finland,2012
Finland,2013
Finland,2014
Finland,2015
Finland,2016
Finland,2017
Finland,2018
Finland,2019
Finland,2020
Finland,2021
Finland,2022
Greece,2000
Greece,2001
Greece,2002
Greece,2003
Greece,2004
Greece,2005
Greece,2006
Greece,2007
Greece,2008
Greece,2009
Greece,2010
Greece,2011
Greece,2012
Greece,2013
Greece,2014
Greece,2015
Greece,2016
Greece,2017
Greece,2018
Greece,2019
Greece,2020
Greece,2021
Greece,2022
Lithuania,2000
Lithuania,2001
Lithuania,2002
Lithuania,2003
Lithuania,2004
Lithuania,2005
Lithuania,2006
Lithuania,2007
Lithuania,2008
Lithuania,2009
Lithuania,2010
Lithuania,2011
Lithuania,2012
Lithuania,2013
Lithuania,2014
Lithuania,2015
Lithuania,2016
Lithuania,2017
Lithuania,2018
Lithuania,2019
Lithuania,2020
Lithuania,2021
Lithuania,2022
Luxembourg,2000
Luxembourg,2001
Luxembourg,2002
Luxembourg,2003
Luxembourg,2004
Luxembourg,2005
Luxembourg,2006
Luxembourg,2007
Luxembourg,2008
Luxembourg,2009
Luxembourg,2010
Luxembourg,2011
Luxembourg,2012
Luxembourg,2013
Luxembourg,2014
Luxembourg,2015
Luxembourg,2016
Luxembourg,2017
Luxembourg,2018
Luxembourg,2019
Luxembourg,2020
Luxembourg,2021
Luxembourg,2022
Malta,2000
Malta,2001
Malta,2002
Malta,2003
Malta,2004
Malta,2005
Malta,2006
Malta,2007
Malta,2008
Malta,2009
Malta,2010
Malta,2011
Malta,2012
Malta,2013
Malta,2014
Malta,2015
Malta,2016
Malta,2017
Malta,2018
Malta,2019
Malta,2020
Malta,2021
Malta,2022
Netherlands (Kingdom of the),2000
Netherlands (Kingdom of the),2001
Netherlands (Kingdom of the),2002
Netherlands (Kingdom of the),2003
Netherlands (Kingdom of the),2004
Netherlands (Kingdom of the),2005
Netherlands (Kingdom of the),2006
Netherlands (Kingdom of the),2007
Netherlands (Kingdom of the),2008
Netherlands (Kingdom of the),2009
Netherlands (Kingdom of the),2010
Netherlands (Kingdom of the),2011
Netherlands (Kingdom of the),2012
Netherlands (Kingdom of the),2013
Netherlands (Kingdom of the),2014
Netherlands (Kingdom of the),2015
Netherlands (Kingdom of the),2016
Netherlands (Kingdom of the),2017
Netherlands (Kingdom of the),2018
Netherlands (Kingdom of the),2019
Netherlands (Kingdom of the),2020
Netherlands (Kingdom of the),2021
Netherlands (Kingdom of the),2022
Poland,2000
Poland,2001
Poland,2002
Poland,2003
Poland,2004
Poland,2005
Poland,2006
Poland,2007
Poland,2008
Poland,2009
Poland,2010
Poland,2011
Poland,2012
Poland,2013
Poland,2014
Poland,2015
Poland,2016
Poland,2017
Poland,2018
Poland,2019
Poland,2020
Poland,2021
Poland,2022
Portugal,2000
Portugal,2001
Portugal,2002
Portugal,2003
Portugal,2004
Portugal,2005
Portugal,2006
Portugal,2007
Portugal,2008
Portugal,2009
Portugal,2010
Portugal,2011
Portugal,2012
Portugal,2013
Portugal,2014
Portugal,2015
Portugal,2016
Portugal,2017
Portugal,2018
Portugal,2019
Portugal,2020
Portugal,2021
Portugal,2022
Romania,2000
Romania,2001
Romania,2002
Romania,2003
Romania,2004
Romania,2005
Romania,2006
Romania,2007
Romania,2008
Romania,2009
Romania,2010
Romania,2011
Romania,2012
Romania,2013
Romania,2014
Romania,2015
Romania,2016
Romania,2017
Romania,2018
Romania,2019
Romania,2020
Romania,2021
Romania,2022
Slovakia,2000
Slovakia,2001
Slovakia,2002
Slovakia,2003
Slovakia,2004
Slovakia,2005
Slovakia,2006
Slovakia,2007
Slovakia,2008
Slovakia,2009
Slovakia,2010
Slovakia,2011
Slovakia,2012
Slovakia,2013
Slovakia,2014
Slovakia,2015
Slovakia,2016
Slovakia,2017
Slovakia,2018
Slovakia,2019
Slovakia,2020
Slovakia,2021
Slovakia,2022
